Htno,Subcode,Subname,Grade,Credits
20L31A1901,1000201102,Technical English Communication,B,2
20L31A1901,1000201203,Wave Optics and Semiconductor Physics,O,3
20L31A1901,1002201202,Network Analysis,A,3
20L31A1901,1005201203,Data Structures,A,3
20L31A1901,1019201200,Digital Logic Design Principles,B,3
20L31A1901,1000201110,Technical English Communication Lab,O,1.5
20L31A1901,1000201211,Wave Optics and Semiconductor Physics Lab,O,1.5
20L31A1901,1005201212,Data Structures Lab,O,1.5
20L31A1901,1019201210,IT Workshop,O,1.5
20L31A1901,1000201121,Constitution of India,CP,-
20L31A1902,1000201102,Technical English Communication,D,2
20L31A1902,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1902,1002201202,Network Analysis,C,3
20L31A1902,1005201203,Data Structures,C,3
20L31A1902,1019201200,Digital Logic Design Principles,C,3
20L31A1902,1000201110,Technical English Communication Lab,A,1.5
20L31A1902,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1902,1005201212,Data Structures Lab,B,1.5
20L31A1902,1019201210,IT Workshop,A,1.5
20L31A1902,1000201121,Constitution of India,CP,-
20L31A1903,1000201102,Technical English Communication,A,2
20L31A1903,1000201203,Wave Optics and Semiconductor Physics,C,3
20L31A1903,1002201202,Network Analysis,D,3
20L31A1903,1005201203,Data Structures,D,3
20L31A1903,1019201200,Digital Logic Design Principles,B,3
20L31A1903,1000201110,Technical English Communication Lab,A,1.5
20L31A1903,1000201211,Wave Optics and Semiconductor Physics Lab,A,1.5
20L31A1903,1005201212,Data Structures Lab,B,1.5
20L31A1903,1019201210,IT Workshop,O,1.5
20L31A1903,1000201121,Constitution of India,CP,-
20L31A1904,1000201102,Technical English Communication,F,0
20L31A1904,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1904,1002201202,Network Analysis,F,0
20L31A1904,1005201203,Data Structures,F,0
20L31A1904,1019201200,Digital Logic Design Principles,F,0
20L31A1904,1000201110,Technical English Communication Lab,B,1.5
20L31A1904,1000201211,Wave Optics and Semiconductor Physics Lab,AB,0
20L31A1904,1005201212,Data Structures Lab,F,0
20L31A1904,1019201210,IT Workshop,AB,0
20L31A1904,1000201121,Constitution of India,NCP,-
20L31A1905,1000201102,Technical English Communication,D,2
20L31A1905,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1905,1002201202,Network Analysis,D,3
20L31A1905,1005201203,Data Structures,D,3
20L31A1905,1019201200,Digital Logic Design Principles,F,0
20L31A1905,1000201110,Technical English Communication Lab,A,1.5
20L31A1905,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
Htno,Subcode,Subname,Grade,Credits
20L31A1905,1005201212,Data Structures Lab,C,1.5
20L31A1905,1019201210,IT Workshop,O,1.5
20L31A1905,1000201121,Constitution of India,CP,-
20L31A1906,1000201102,Technical English Communication,B,2
20L31A1906,1000201203,Wave Optics and Semiconductor Physics,A,3
20L31A1906,1002201202,Network Analysis,C,3
20L31A1906,1005201203,Data Structures,A,3
20L31A1906,1019201200,Digital Logic Design Principles,B,3
20L31A1906,1000201110,Technical English Communication Lab,O,1.5
20L31A1906,1000201211,Wave Optics and Semiconductor Physics Lab,B,1.5
20L31A1906,1005201212,Data Structures Lab,A,1.5
20L31A1906,1019201210,IT Workshop,O,1.5
20L31A1906,1000201121,Constitution of India,CP,-
20L31A1907,1000201102,Technical English Communication,B,2
20L31A1907,1000201203,Wave Optics and Semiconductor Physics,A,3
20L31A1907,1002201202,Network Analysis,C,3
20L31A1907,1005201203,Data Structures,B,3
20L31A1907,1019201200,Digital Logic Design Principles,A,3
20L31A1907,1000201110,Technical English Communication Lab,O,1.5
20L31A1907,1000201211,Wave Optics and Semiconductor Physics Lab,O,1.5
20L31A1907,1005201212,Data Structures Lab,B,1.5
20L31A1907,1019201210,IT Workshop,O,1.5
20L31A1907,1000201121,Constitution of India,CP,-
20L31A1908,1000201102,Technical English Communication,B,2
20L31A1908,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1908,1002201202,Network Analysis,C,3
20L31A1908,1005201203,Data Structures,B,3
20L31A1908,1019201200,Digital Logic Design Principles,C,3
20L31A1908,1000201110,Technical English Communication Lab,O,1.5
20L31A1908,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1908,1005201212,Data Structures Lab,C,1.5
20L31A1908,1019201210,IT Workshop,B,1.5
20L31A1908,1000201121,Constitution of India,CP,-
20L31A1909,1000201102,Technical English Communication,D,2
20L31A1909,1000201203,Wave Optics and Semiconductor Physics,F,0
20L31A1909,1002201202,Network Analysis,F,0
20L31A1909,1005201203,Data Structures,F,0
20L31A1909,1019201200,Digital Logic Design Principles,F,0
20L31A1909,1000201110,Technical English Communication Lab,A,1.5
20L31A1909,1000201211,Wave Optics and Semiconductor Physics Lab,C,1.5
20L31A1909,1005201212,Data Structures Lab,F,0
20L31A1909,1019201210,IT Workshop,A,1.5
20L31A1909,1000201121,Constitution of India,CP,-
20L31A1910,1000201102,Technical English Communication,B,2
20L31A1910,1000201203,Wave Optics and Semiconductor Physics,B,3
20L31A1910,1002201202,Network Analysis,B,3
20L31A1910,1005201203,Data Structures,C,3
